变量名,中文解释,单位/范围,备注
lowlevel.spectral_contrast_valleys.mean,"谱对比度谷值均值（6 维）",向量/统计量,"逐频段平均谷底水平"
lowlevel.spectral_contrast_valleys.median,"谱对比度谷值中位数（6 维）",向量/统计量,"逐频段鲁棒中心趋势"
lowlevel.spectral_contrast_valleys.min,"谱对比度谷值最小值（6 维）",向量/统计量,"逐频段谷底最低时刻（更深的谷）"
lowlevel.spectral_contrast_valleys.stdev,"谱对比度谷值标准差（6 维）",向量/统计量,"逐频段波动"
lowlevel.spectral_contrast_valleys.var,"谱对比度谷值方差（6 维）",向量/统计量,"=stdev^2（逐维）"
rhythm.beats_loudness_band_ratio.dmean,"节拍响度频带比（Band Ratio）一阶差分均值（6 维）",向量/统计量,"每维表示某频段能量占比/比值（常见：低/中低/中/中高/高等）；差分表示节拍能量分布变化"
rhythm.beats_loudness_band_ratio.dmean2,"节拍响度频带比二阶差分均值（6 维）",向量/统计量,"变化加速度（逐维）"
rhythm.beats_loudness_band_ratio.dvar,"节拍响度频带比一阶差分方差（6 维）",向量/统计量,"变化不稳定（逐维）"
rhythm.beats_loudness_band_ratio.dvar2,"节拍响度频带比二阶差分方差（6 维）",向量/统计量,"加速度不稳定（逐维）"
rhythm.beats_loudness_band_ratio.max,"节拍响度频带比最大值（6 维）",向量/统计量,"逐频段占比峰值"
rhythm.beats_loudness_band_ratio.mean,"节拍响度频带比均值（6 维）",向量/统计量,"节拍能量在各频段的平均分布"
rhythm.beats_loudness_band_ratio.median,"节拍响度频带比中位数（6 维）",向量/统计量,"逐维鲁棒中心趋势"
rhythm.beats_loudness_band_ratio.min,"节拍响度频带比最小值（6 维）",向量/统计量,"逐维最小占比（可能为 0）"
rhythm.beats_loudness_band_ratio.stdev,"节拍响度频带比标准差（6 维）",向量/统计量,"逐维波动"
rhythm.beats_loudness_band_ratio.var,"节拍响度频带比方差（6 维）",向量/统计量,"=stdev^2（逐维）"
tonal.hpcp.dmean,"HPCP 向量一阶差分均值（36 维）",向量/统计量,"36 维通常表示将一个八度细分为 36 份（每半音 3 bins），用于更细调性/和声分析"
tonal.hpcp.dmean2,"HPCP 向量二阶差分均值（36 维）",向量/统计量,"变化加速度（逐维）"
tonal.hpcp.dvar,"HPCP 向量一阶差分方差（36 维）",向量/统计量,"变化不稳定（逐维）"
tonal.hpcp.dvar2,"HPCP 向量二阶差分方差（36 维）",向量/统计量,"加速度不稳定（逐维）"
tonal.hpcp.max,"HPCP 向量最大值（36 维）",向量/统计量,"逐 bin 的最大强度（常被归一到 1）"
tonal.hpcp.mean,"HPCP 向量均值（36 维）",向量/统计量,"逐 bin 平均强度（反映长期调性/和声分布）"
tonal.hpcp.median,"HPCP 向量中位数（36 维）",向量/统计量,"逐 bin 鲁棒中心趋势"
tonal.hpcp.min,"HPCP 向量最小值（36 维）",向量/统计量,"逐 bin 最小强度（常为 0）"
tonal.hpcp.stdev,"HPCP 向量标准差（36 维）",向量/统计量,"逐 bin 波动"
tonal.hpcp.var,"HPCP 向量方差（36 维）",向量/统计量,"=stdev^2（逐维）"
rhythm.beats_position,"节拍位置时间序列（670 维）：每个 beat 的时间戳",秒/向量,"从曲首起的秒数列表"
rhythm.bpm_histogram,"BPM 直方图（250 维）：不同 BPM bin 的权重/计数",无量纲/向量,"用于找主峰与次峰"
tonal.chords_histogram,"和弦直方图（24 维）：各和弦类别出现的统计权重",无量纲/向量,"维度与和弦字典有关（例如 12 大调 + 12 小调）"
tonal.thpcp,"调性加权/汇总 HPCP（36 维）",无量纲/向量,"常用于 key/chord 推断的长期音高类分布表示"
lowlevel.gfcc.cov,"GFCC 协方差矩阵（13×13）",矩阵,"描述 13 维 GFCC 各维之间的相关性"
lowlevel.gfcc.icov,"GFCC 逆协方差矩阵（13×13）",矩阵,"常用于马氏距离/高斯模型等"
lowlevel.mfcc.cov,"MFCC 协方差矩阵（13×13）",矩阵,"描述 13 维 MFCC 相关性"
lowlevel.mfcc.icov,"MFCC 逆协方差矩阵（13×13）",矩阵,"用于马氏距离/高斯假设等"
metadata.audio_properties.analysis.downmix,"分析时的下混策略",字符串,"mix=将多声道混合为单通道用于分析（实现相关）"
metadata.audio_properties.codec,"音频编码格式",字符串,"此处为 aac"
metadata.audio_properties.md5_encoded,"编码后音频内容的 MD5 哈希",32 字符十六进制,"用于内容校验/去重（与原始 PCM 不一定一致）"
metadata.tags.file_name,"文件名（标签）",字符串,"此处为 Waltz for Debby.m4a"
metadata.version.essentia,"Essentia 版本",字符串,刺出是 2.1-beta6-dev
metadata.version.essentia_git_sha,"Essentia Git 提交/构建标识",字符串,"含 dirty 表示本地有未提交改动"
metadata.version.extractor,"Extractor 配置/版本标识",字符串,"music 2.0（Essentia extractor 配置名）"
tonal.chords_key,"基于和弦序列估计的调性主音（Key）",音名,"此处为 D"
tonal.chords_scale,"基于和弦序列估计的调式（Scale）",major/minor,"此处为 minor"
tonal.key_edma.key,"EDMA 方法估计的主音（Key）",音名,"此处为 D"
tonal.key_edma.scale,"EDMA 方法估计的调式（Scale）",major/minor,"此处为 minor"
tonal.key_krumhansl.key,"Krumhansl 方法估计的主音（Key）",音名,"此处为 D"
tonal.key_krumhansl.scale,"Krumhansl 方法估计的调式（Scale）",major/minor,"此处为 minor"
tonal.key_temperley.key,"Temperley 方法估计的主音（Key）",音名,"此处为 D"
tonal.key_temperley.scale,"Temperley 方法估计的调式（Scale）",major/minor,"此处为 minor"
